,time,zerocol,pupil_high_low
4222,0.001,0,1
4223,0.005,0,1
4224,0.009,0,1
4225,0.013,0,1
4226,0.017,0,1
4227,0.021,0,1
4228,0.025,0,1
4229,0.029,0,1
4230,0.033,0,1
4231,0.037,0,1
4232,0.041,0,1
4233,0.045,0,1
4234,0.049,0,1
4235,0.053,0,1
4236,0.057,0,1
4237,0.061,0,1
4238,0.065,0,1
4239,0.069,0,1
4240,0.073,0,1
4241,0.077,0,1
4242,0.081,0,1
4243,0.085,0,1
4244,0.089,0,1
4245,0.093,0,1
4246,0.097,0,1
4247,0.101,0,1
4248,0.105,0,1
4249,0.109,0,1
4250,0.113,0,1
4251,0.117,0,1
4252,0.121,0,1
4253,0.125,0,1
4254,0.129,0,1
4255,0.133,0,1
4256,0.137,0,1
4257,0.141,0,1
4258,0.145,0,1
4259,0.149,0,1
4260,0.153,0,1
4261,0.157,0,1
4262,0.161,0,1
4263,0.165,0,1
4264,0.169,0,1
4265,0.173,0,1
4266,0.177,0,1
4267,0.181,0,1
4268,0.185,0,1
4269,0.189,0,1
4270,0.193,0,1
4271,0.197,0,1
4272,0.201,0,1
4273,0.205,0,1
4274,0.209,0,1
4275,0.213,0,1
4276,0.217,0,1
4277,0.221,0,1
4278,0.225,0,1
4279,0.229,0,1
4280,0.233,0,1
4281,0.237,0,1
4282,0.241,0,1
4283,0.245,0,1
4284,0.249,0,1
4285,0.253,0,1
4286,0.257,0,1
4287,0.261,0,1
4288,0.265,0,1
4289,0.269,0,1
4290,0.273,0,1
4291,0.277,0,1
4292,0.281,0,1
4293,0.285,0,1
4294,0.289,0,1
4295,0.293,0,1
4296,0.297,0,1
4297,0.301,0,1
4298,0.305,0,1
4299,0.309,0,1
4300,0.313,0,1
4301,0.317,0,1
4302,0.321,0,1
4303,0.325,0,1
4304,0.329,0,1
4305,0.333,0,1
4306,0.337,0,1
4307,0.341,0,1
4308,0.345,0,1
4309,0.349,0,1
4310,0.353,0,1
4311,0.357,0,1
4312,0.361,0,1
4313,0.365,0,1
4314,0.369,0,1
4315,0.373,0,1
4316,0.377,0,1
4317,0.381,0,1
4318,0.385,0,1
4319,0.389,0,1
4320,0.393,0,1
4321,0.397,0,1
4322,0.401,0,1
4323,0.405,0,1
4324,0.409,0,1
4325,0.413,0,1
4326,0.417,0,1
4327,0.421,0,1
4328,0.425,0,1
4329,0.429,0,1
4330,0.433,0,1
4331,0.437,0,1
4332,0.441,0,1
4333,0.445,0,1
4334,0.449,0,1
4335,0.453,0,1
4336,0.457,0,1
4337,0.461,0,1
4338,0.465,0,1
4339,0.469,0,1
4340,0.473,0,1
4341,0.477,0,1
4342,0.481,0,1
4343,0.485,0,1
4344,0.489,0,1
4345,0.493,0,1
4346,0.497,0,1
4347,0.501,0,1
4348,0.505,0,1
4349,0.509,0,1
4350,0.513,0,1
4351,0.517,0,1
4352,0.521,0,1
4353,0.525,0,1
4354,0.529,0,1
4355,0.533,0,1
4356,0.537,0,1
4357,0.541,0,1
4358,0.545,0,1
4359,0.549,0,1
