,time,zerocol,pupil_high_low
3360,1.156,0,1
3361,1.16,0,1
3362,1.164,0,1
3363,1.168,0,1
3364,1.172,0,1
3365,1.176,0,1
3366,1.18,0,1
3367,1.184,0,1
3368,1.188,0,1
3369,1.192,0,1
3370,1.196,0,1
3371,1.2,0,1
3372,1.204,0,1
3373,1.208,0,1
3374,1.212,0,1
3375,1.216,0,1
3376,1.22,0,1
3377,1.224,0,1
3378,1.228,0,1
3379,1.232,0,1
3380,1.236,0,1
3381,1.24,0,1
3382,1.244,0,1
3383,1.248,0,1
3384,1.252,0,1
3385,1.256,0,1
3386,1.26,0,1
3387,1.264,0,1
3388,1.268,0,1
3389,1.272,0,1
3390,1.276,0,1
3391,1.28,0,1
3392,1.284,0,1
3393,1.288,0,1
3394,1.292,0,1
3395,1.296,0,1
3396,1.3,0,1
3397,1.304,0,1
3398,1.308,0,1
3399,1.312,0,1
3400,1.316,0,1
3401,1.32,0,1
3402,1.324,0,1
3403,1.328,0,1
3404,1.332,0,1
3405,1.336,0,1
3406,1.34,0,1
3407,1.344,0,1
3408,1.348,0,1
3409,1.352,0,1
3410,1.356,0,1
3411,1.36,0,1
3412,1.364,0,1
3413,1.368,0,1
3414,1.372,0,1
3415,1.376,0,1
3416,1.38,0,1
3417,1.384,0,1
3418,1.388,0,1
3419,1.392,0,1
3420,1.396,0,1
3421,1.4,0,1
3422,1.404,0,1
3423,1.408,0,1
3424,1.412,0,1
3425,1.416,0,1
3426,1.42,0,1
3427,1.424,0,1
3428,1.428,0,1
3429,1.432,0,1
3430,1.436,0,1
3431,1.44,0,1
3432,1.444,0,1
3433,1.448,0,1
3434,1.452,0,1
3435,1.456,0,1
3436,1.46,0,1
3437,1.464,0,1
3438,1.468,0,1
3439,1.472,0,1
3440,1.476,0,1
3441,1.48,0,1
3442,1.484,0,1
3443,1.488,0,1
3444,1.492,0,1
3445,1.496,0,1
3446,1.5,0,1
3447,1.504,0,1
3448,1.508,0,1
3449,1.512,0,1
3450,1.516,0,1
3451,1.52,0,1
3452,1.524,0,1
3453,1.528,0,1
3454,1.532,0,1
3455,1.536,0,1
3456,1.54,0,1
3457,1.544,0,1
3458,1.548,0,1
3459,1.552,0,1
3460,1.556,0,1
3461,1.56,0,1
3462,1.564,0,1
3463,1.568,0,1
3464,1.572,0,1
3465,1.576,0,1
3466,1.58,0,1
3467,1.584,0,1
3468,1.588,0,1
3469,1.592,0,1
3470,1.596,0,1
3471,1.6,0,1
3472,1.604,0,1
3473,1.608,0,1
3474,1.612,0,1
3475,1.616,0,1
3476,1.62,0,1
3477,1.624,0,1
3478,1.628,0,1
3479,1.632,0,1
3480,1.636,0,1
3481,1.64,0,1
3482,1.644,0,1
3483,1.648,0,1
3484,1.652,0,1
3485,1.656,0,1
3486,1.66,0,1
3487,1.664,0,1
3488,1.668,0,1
3489,1.672,0,1
3490,1.676,0,1
3491,1.68,0,1
3492,1.684,0,1
3493,1.688,0,1
3494,1.692,0,1
3495,1.696,0,1
3496,1.7,0,1
3497,1.704,0,1
3498,1.708,0,1
3499,1.712,0,1
3500,1.716,0,1
3501,1.72,0,1
3502,1.724,0,1
3503,1.728,0,1
3504,1.732,0,1
3505,1.736,0,1
3506,1.74,0,1
3507,1.744,0,1
3508,1.748,0,1
3509,1.752,0,1
3510,1.756,0,1
3511,1.76,0,1
3512,1.764,0,1
3513,1.768,0,1
3514,1.772,0,1
3515,1.776,0,1
3516,1.78,0,0
3517,1.784,0,0
3518,1.788,0,0
3519,1.792,0,0
3520,1.796,0,0
3521,1.8,0,0
3522,1.804,0,0
3523,1.808,0,0
3524,1.812,0,0
3525,1.816,0,0
3526,1.82,0,0
3527,1.824,0,0
3528,1.828,0,0
3529,1.832,0,0
3530,1.836,0,0
3531,1.84,0,0
3532,1.844,0,0
3533,1.848,0,0
3534,1.852,0,0
3535,1.856,0,0
3536,1.86,0,0
3537,1.864,0,0
3538,1.868,0,0
3539,1.872,0,0
3540,1.876,0,0
3541,1.88,0,0
3542,1.884,0,0
3543,1.888,0,0
3544,1.892,0,1
3545,1.896,0,1
3546,1.9,0,1
3547,1.904,0,1
3548,1.908,0,1
3549,1.912,0,1
3550,1.916,0,1
3551,1.92,0,1
3552,1.924,0,1
3553,1.928,0,1
3554,1.932,0,1
3555,1.936,0,1
3556,1.94,0,1
3557,1.944,0,1
3558,1.948,0,1
3559,1.952,0,1
3560,1.956,0,1
3561,1.96,0,1
3562,1.964,0,1
3563,1.968,0,1
3564,1.972,0,1
3565,1.976,0,1
3566,1.98,0,1
3567,1.984,0,1
3568,1.988,0,1
3569,1.992,0,1
3570,1.996,0,1
3571,2.0,0,1
3572,2.004,0,1
3573,2.008,0,1
3574,2.012,0,1
3575,2.016,0,1
3576,2.02,0,1
3577,2.024,0,1
3578,2.028,0,1
3579,2.032,0,1
3580,2.036,0,1
3581,2.04,0,1
3582,2.044,0,1
3583,2.048,0,1
3584,2.052,0,1
3585,2.056,0,1
3586,2.06,0,1
3587,2.064,0,1
3588,2.068,0,1
3589,2.072,0,1
3590,2.076,0,1
3591,2.08,0,1
3592,2.084,0,1
3593,2.088,0,1
3594,2.092,0,1
3595,2.096,0,1
3596,2.1,0,1
3597,2.104,0,1
